question,option1,option2,option3,option4,correct
"Sodium and chlorine are reacted, and as a result, sodium chloride is formed, which is also called table salt. What option gives the reactants and products of the reaction?",Reactants – sodium; products – chlorine,Reactants – sodium and table salt; products – chlorine,Reactants – tables salt; products – sodium and chlorine,Reactants – sodium and chlorine; products – sodium chloride,d
Which of the following reaction can also be termed a thermal decomposition reaction?,Combination reaction,Decomposition reaction,Displacement reaction,Double displacement reaction,b
A student performs an experiment to form aluminium chloride from aluminium and chlorine. Which of the following option gives the chemical equation of the reaction?,Al + Cl2 → AlCl2,2Al + Cl2 → 2AlCl,2Al + 3Cl2 → 2AlCl3,3Al + 3Cl2 → 3AlCl3,1:2,1:1,2:1,1:8,c
A researcher adds barium hydroxide to hydrochloric acid to form a white-coloured barium chloride. Which of the following option gives the balanced chemical equation of the reaction?,HCl + Ba(OH)2 → BaCl2 + 2HOH,2HCl + Ba(OH)2 → BaCl2 + 2HOH,2HCl + Ba(OH)2 → BaH2 + 2HCl + O2,HCl + 2Ba(OH) → 2BaCl2 + 2HOH + O2,Melting of candle wax when heated,Burning of candle wax when heated,Digestion of food in your stomach,Ripening of banana,a
"A student wrote a chemical equation of the reaction between carbon monoxide and hydrogen as,",The reaction is an example of a combination reaction as a compound separates into two compounds.,The reaction is an example of a decomposition reaction as a compound dissociates into two compounds.,The reaction is an example of a combination reaction as two compounds react to form a single compound.,The reaction is an example of a decomposition reaction as two compounds react to form a single compound.,c
The chemical formula of magnesium oxide is ______.,MgO2,Mg2O,MgO,Mg(OH)2,c
"From the following, which one is an example of a chemical reaction?",Grapes get fermented,Breakdown of food,Formation of curd,All of the above,d
A student adds lead and silver to two different test tubes containing an equal amount of copper sulphate solution. The student observes that the colour of the solution in the test tube with lead changes. What explains the change in the colour of the solution?,A displacement reaction takes place as lead replaces copper from the solution.,A combination reaction takes place as lead combines with sulphate in the solution.,A decomposition reaction takes place as copper dissociates from sulphate in the solution.,A double displacement reaction takes place as copper dissociates from sulphate and lead combines with sulphate in the solution.,a
Which of the following reactions is used in black-and-white photography?,Combination Reaction,Decomposition Reaction,Displacement reaction,Oxidation reaction,b
What happens when lead nitrate reacts with potassium iodide?,They will not react,A large amount of hydrogen will be released,Yellow ppt of lead iodide and potassium nitrate will be produced,Evolution of gas will occur,c
"The chemical reaction between potassium chloride and silver nitrate is given by the chemical equation,",Silver nitrate and potassium undergo a decomposition reaction to form silver chloride and potassium nitrate,Silver nitrate and potassium undergo a displacement reaction to form silver chloride and potassium nitrate,Silver nitrate and potassium undergo a combination reaction to form silver chloride and potassium nitrate,Silver nitrate and potassium undergo a double displacement reaction to form silver chloride and potassium nitrate,d
Which of the following shows an oxidation reaction?,Gain of oxygen,Loss of oxygen,Gain of hydrogen,None of the above,
